CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN
01,Aguascalientes,001,Aguascalientes
02,Baja California,001,Ensenada
03,Baja California Sur,001,Comondú
04,Campeche,001,Calkiní
05,Coahuila de Zaragoza,001,Abasolo
06,Colima,001,Armería
07,Chiapas,001,Acacoyagua
08,Chihuahua,001,Ahumada
10,Durango,001,Canatlán
11,Guanajuato,001,Abasolo
12,Guerrero,001,Acapulco de Juárez
13,Hidalgo,001,Acatlán
14,Jalisco,001,Acatic
15,México,001,Acambay de Ruíz Castañeda
16,Michoacán de Ocampo,001,Acuitzio
17,Morelos,001,Amacuzac
18,Nayarit,001,Acaponeta
19,Nuevo León,001,Abasolo
20,Oaxaca,001,Abejones
21,Puebla,001,Acajete
22,Querétaro,001,Amealco de Bonfil
23,Quintana Roo,001,Cozumel
24,San Luis Potosí,001,Ahualulco
25,Sinaloa,001,Ahome
26,Sonora,001,Aconchi
27,Tabasco,001,Balancán
28,Tamaulipas,001,Abasolo
29,Tlaxcala,001,Amaxac de Guerrero
30,Veracruz de Ignacio de la Llave,001,Acajete
31,Yucatán,001,Abalá
32,Zacatecas,001,Apozol
01,Aguascalientes,002,Asientos
02,Baja California,002,Mexicali
03,Baja California Sur,002,Mulegé
04,Campeche,002,Campeche
05,Coahuila de Zaragoza,002,Acuña
06,Colima,002,Colima
07,Chiapas,002,Acala
08,Chihuahua,002,Aldama
09,Distrito Federal,002,Azcapotzalco
10,Durango,002,Canelas
11,Guanajuato,002,Acámbaro
12,Guerrero,002,Ahuacuotzingo
13,Hidalgo,002,Acaxochitlán
14,Jalisco,002,Acatlán de Juárez
15,México,002,Acolman
16,Michoacán de Ocampo,002,Aguililla
17,Morelos,002,Atlatlahucan
18,Nayarit,002,Ahuacatlán
19,Nuevo León,002,Agualeguas
20,Oaxaca,002,Acatlán de Pérez Figueroa
21,Puebla,002,Acateno
22,Querétaro,002,Pinal de Amoles
23,Quintana Roo,002,Felipe Carrillo Puerto
24,San Luis Potosí,002,Alaquines
25,Sinaloa,002,Angostura
26,Sonora,002,Agua Prieta
27,Tabasco,002,Cárdenas
28,Tamaulipas,002,Aldama
29,Tlaxcala,002,Apetatitlán de Antonio Carvajal
30,Veracruz de Ignacio de la Llave,002,Acatlán
31,Yucatán,002,Acanceh
32,Zacatecas,002,Apulco
01,Aguascalientes,003,Calvillo
02,Baja California,003,Tecate
03,Baja California Sur,003,La Paz
04,Campeche,003,Carmen
05,Coahuila de Zaragoza,003,Allende
06,Colima,003,Comala
07,Chiapas,003,Acapetahua
08,Chihuahua,003,Allende
09,Distrito Federal,003,Coyoacán
10,Durango,003,Coneto de Comonfort
11,Guanajuato,003,San Miguel de Allende
12,Guerrero,003,Ajuchitlán del Progreso
13,Hidalgo,003,Actopan
14,Jalisco,003,Ahualulco de Mercado
15,México,003,Aculco
16,Michoacán de Ocampo,003,Álvaro Obregón
17,Morelos,003,Axochiapan
18,Nayarit,003,Amatlán de Cañas
19,Nuevo León,003,Los Aldamas
20,Oaxaca,003,Asunción Cacalotepec
21,Puebla,003,Acatlán
22,Querétaro,003,Arroyo Seco
23,Quintana Roo,003,Isla Mujeres
24,San Luis Potosí,003,Aquismón
25,Sinaloa,003,Badiraguato
26,Sonora,003,Alamos
27,Tabasco,003,Centla
28,Tamaulipas,003,Altamira
29,Tlaxcala,003,Atlangatepec
30,Veracruz de Ignacio de la Llave,003,Acayucan
31,Yucatán,003,Akil
32,Zacatecas,003,Atolinga
01,Aguascalientes,004,Cosío
02,Baja California,004,Tijuana
04,Campeche,004,Champotón
05,Coahuila de Zaragoza,004,Arteaga
06,Colima,004,Coquimatlán
07,Chiapas,004,Altamirano
08,Chihuahua,004,Aquiles Serdán
09,Distrito Federal,004,Cuajimalpa de Morelos
10,Durango,004,Cuencamé
11,Guanajuato,004,Apaseo el Alto
12,Guerrero,004,Alcozauca de Guerrero
13,Hidalgo,004,Agua Blanca de Iturbide
14,Jalisco,004,Amacueca
15,México,004,Almoloya de Alquisiras
16,Michoacán de Ocampo,004,Angamacutiro
17,Morelos,004,Ayala
18,Nayarit,004,Compostela
19,Nuevo León,004,Allende
20,Oaxaca,004,Asunción Cuyotepeji
21,Puebla,004,Acatzingo
22,Querétaro,004,Cadereyta de Montes
23,Quintana Roo,004,Othón P. Blanco
24,San Luis Potosí,004,Armadillo de los Infante
25,Sinaloa,004,Concordia
26,Sonora,004,Altar
27,Tabasco,004,Centro
28,Tamaulipas,004,Antiguo Morelos
29,Tlaxcala,004,Atltzayanca
30,Veracruz de Ignacio de la Llave,004,Actopan
31,Yucatán,004,Baca
32,Zacatecas,004,Benito Juárez
01,Aguascalientes,005,Jesús María
02,Baja California,005,Playas de Rosarito
04,Campeche,005,Hecelchakán
05,Coahuila de Zaragoza,005,Candela
06,Colima,005,Cuauhtémoc
07,Chiapas,005,Amatán
08,Chihuahua,005,Ascensión
09,Distrito Federal,005,Gustavo A. Madero
10,Durango,005,Durango
11,Guanajuato,005,Apaseo el Grande
12,Guerrero,005,Alpoyeca
13,Hidalgo,005,Ajacuba
14,Jalisco,005,Amatitán
15,México,005,Almoloya de Juárez
16,Michoacán de Ocampo,005,Angangueo
17,Morelos,005,Coatlán del Río
18,Nayarit,005,Huajicori
19,Nuevo León,005,Anáhuac
20,Oaxaca,005,Asunción Ixtaltepec
21,Puebla,005,Acteopan
22,Querétaro,005,Colón
23,Quintana Roo,005,Benito Juárez
24,San Luis Potosí,005,Cárdenas
25,Sinaloa,005,Cosalá
26,Sonora,005,Arivechi
27,Tabasco,005,Comalcalco
28,Tamaulipas,005,Burgos
29,Tlaxcala,005,Apizaco
30,Veracruz de Ignacio de la Llave,005,Acula
31,Yucatán,005,Bokobá
32,Zacatecas,005,Calera
01,Aguascalientes,006,Pabellón de Arteaga
04,Campeche,006,Hopelchén
05,Coahuila de Zaragoza,006,Castaños
06,Colima,006,Ixtlahuacán
07,Chiapas,006,Amatenango de la Frontera
08,Chihuahua,006,Bachíniva
09,Distrito Federal,006,Iztacalco
10,Durango,006,General Simón Bolívar
11,Guanajuato,006,Atarjea
12,Guerrero,006,Apaxtla
13,Hidalgo,006,Alfajayucan
14,Jalisco,006,Ameca
15,México,006,Almoloya del Río
16,Michoacán de Ocampo,006,Apatzingán
17,Morelos,006,Cuautla
18,Nayarit,006,Ixtlán del Río
19,Nuevo León,006,Apodaca
20,Oaxaca,006,Asunción Nochixtlán
21,Puebla,006,Ahuacatlán
22,Querétaro,006,Corregidora
23,Quintana Roo,006,José María Morelos
24,San Luis Potosí,006,Catorce
25,Sinaloa,006,Culiacán
26,Sonora,006,Arizpe
27,Tabasco,006,Cunduacán
28,Tamaulipas,006,Bustamante
29,Tlaxcala,006,Calpulalpan
30,Veracruz de Ignacio de la Llave,006,Acultzingo
31,Yucatán,006,Buctzotz
32,Zacatecas,006,Cañitas de Felipe Pescador
01,Aguascalientes,007,Rincón de Romos
04,Campeche,007,Palizada
05,Coahuila de Zaragoza,007,Cuatro Ciénegas
06,Colima,007,Manzanillo
07,Chiapas,007,Amatenango del Valle
08,Chihuahua,007,Balleza
09,Distrito Federal,007,Iztapalapa
10,Durango,007,Gómez Palacio
11,Guanajuato,007,Celaya
12,Guerrero,007,Arcelia
13,Hidalgo,007,Almoloya
14,Jalisco,007,San Juanito de Escobedo
15,México,007,Amanalco
16,Michoacán de Ocampo,007,Aporo
17,Morelos,007,Cuernavaca
18,Nayarit,007,Jala
19,Nuevo León,007,Aramberri
20,Oaxaca,007,Asunción Ocotlán
21,Puebla,007,Ahuatlán
22,Querétaro,007,Ezequiel Montes
23,Quintana Roo,007,Lázaro Cárdenas
24,San Luis Potosí,007,Cedral
25,Sinaloa,007,Choix
26,Sonora,007,Atil
27,Tabasco,007,Emiliano Zapata
28,Tamaulipas,007,Camargo
29,Tlaxcala,007,El Carmen Tequexquitla
30,Veracruz de Ignacio de la Llave,007,Camarón de Tejeda
31,Yucatán,007,Cacalchén
32,Zacatecas,007,Concepción del Oro
01,Aguascalientes,008,San José de Gracia
03,Baja California Sur,008,Los Cabos
04,Campeche,008,Tenabo
05,Coahuila de Zaragoza,008,Escobedo
06,Colima,008,Minatitlán
07,Chiapas,008,Angel Albino Corzo
08,Chihuahua,008,Batopilas
09,Distrito Federal,008,La Magdalena Contreras
10,Durango,008,Guadalupe Victoria
11,Guanajuato,008,Manuel Doblado
12,Guerrero,008,Atenango del Río
13,Hidalgo,008,Apan
14,Jalisco,008,Arandas
15,México,008,Amatepec
16,Michoacán de Ocampo,008,Aquila
17,Morelos,008,Emiliano Zapata
18,Nayarit,008,Xalisco
19,Nuevo León,008,Bustamante
20,Oaxaca,008,Asunción Tlacolulita
21,Puebla,008,Ahuazotepec
22,Querétaro,008,Huimilpan
23,Quintana Roo,008,Solidaridad
24,San Luis Potosí,008,Cerritos
25,Sinaloa,008,Elota
26,Sonora,008,Bacadéhuachi
27,Tabasco,008,Huimanguillo
28,Tamaulipas,008,Casas
29,Tlaxcala,008,Cuapiaxtla
30,Veracruz de Ignacio de la Llave,008,Alpatláhuac
31,Yucatán,008,Calotmul
32,Zacatecas,008,Cuauhtémoc
01,Aguascalientes,009,Tepezalá
03,Baja California Sur,009,Loreto
04,Campeche,009,Escárcega
05,Coahuila de Zaragoza,009,Francisco I. Madero
06,Colima,009,Tecomán
07,Chiapas,009,Arriaga
08,Chihuahua,009,Bocoyna
09,Distrito Federal,009,Milpa Alta
10,Durango,009,Guanaceví
11,Guanajuato,009,Comonfort
12,Guerrero,009,Atlamajalcingo del Monte
13,Hidalgo,009,El Arenal
14,Jalisco,009,El Arenal
15,México,009,Amecameca
16,Michoacán de Ocampo,009,Ario
17,Morelos,009,Huitzilac
18,Nayarit,009,Del Nayar
19,Nuevo León,009,Cadereyta Jiménez
20,Oaxaca,009,Ayotzintepec
21,Puebla,009,Ahuehuetitla
22,Querétaro,009,Jalpan de Serra
23,Quintana Roo,009,Tulum
24,San Luis Potosí,009,Cerro de San Pedro
25,Sinaloa,009,Escuinapa
26,Sonora,009,Bacanora
27,Tabasco,009,Jalapa
28,Tamaulipas,009,Ciudad Madero
29,Tlaxcala,009,Cuaxomulco
30,Veracruz de Ignacio de la Llave,009,Alto Lucero de Gutiérrez Barrios
31,Yucatán,009,Cansahcab
32,Zacatecas,009,Chalchihuites
01,Aguascalientes,010,El Llano
04,Campeche,010,Calakmul
05,Coahuila de Zaragoza,010,Frontera
